airport_distance,1-5 min,1hr,<1min,>1hr
<5mi,5456,5395,7429,40
5-10mi,4243,4346,6002,28
10-15mi,1238,1352,1821,12
15-20mi,325,357,424,4
20-25mi,61,86,82,0
>25mi,23,27,30,1
