,Shape,Frequency
0,Sphere,16.15193069221325
1,Circle,12.813640215116983
2,Triangle,12.311297100070899
3,Other,11.404312715073752
4,Light,10.69446125646302
5,Star-Like,9.086271593837001
6,Fireball,7.039720555430666
7,Oval,6.930778675059226
8,Unknown,6.83394144806239
9,Disc,6.733645748672812
