Australia,Jan 2010,4
Australia,Feb 2010,3
Australia,Mar 2010,2
Australia,Apr 2010,5
Australia,May 2010,4
Australia,Jun 2010,3
Australia,Jul 2010,2
Australia,Aug 2010,2
Australia,Sep 2010,0
Australia,Oct 2010,4
Australia,Nov 2010,1
Australia,Dec 2010,1
Australia,Jan 2011,3
Australia,Feb 2011,3
Australia,Mar 2011,1
Australia,Apr 2011,2
Australia,May 2011,4
Australia,Jun 2011,0
Australia,Jul 2011,2
Australia,Aug 2011,2
Australia,Sep 2011,9
Australia,Oct 2011,0
Australia,Nov 2011,1
Australia,Dec 2011,1
Australia,Jan 2012,11
Australia,Feb 2012,8
Australia,Mar 2012,1
Australia,Apr 2012,4
Australia,May 2012,5
Australia,Jun 2012,6
Australia,Jul 2012,0
Australia,Aug 2012,0
Australia,Sep 2012,0
Australia,Oct 2012,0
Australia,Nov 2012,0
Australia,Dec 2012,0
Australia,Jan 2013,0
Australia,Feb 2013,4
Australia,Mar 2013,1
Australia,Apr 2013,4
Australia,May 2013,7
Australia,Jun 2013,6
Australia,Jul 2013,5
Australia,Aug 2013,2
Australia,Sep 2013,3
Australia,Oct 2013,7
Australia,Nov 2013,3
Australia,Dec 2013,4
Australia,Jan 2014,14
Australia,Feb 2014,3
Australia,Mar 2014,4
Australia,Apr 2014,6
Australia,May 2014,4
Australia,Jun 2014,2
Australia,Jul 2014,7
Australia,Aug 2014,9
Australia,Sep 2014,1
Australia,Oct 2014,4
Australia,Nov 2014,4
Australia,Dec 2014,2
Australia,Jan 2015,5
Australia,Feb 2015,4
Australia,Mar 2015,11
Australia,Apr 2015,5
Australia,May 2015,4
Australia,Jun 2015,6
Australia,Jul 2015,8
Australia,Aug 2015,14
Australia,Sep 2015,7
Australia,Oct 2015,13
Australia,Nov 2015,5
Australia,Dec 2015,3
Australia,Jan 2016,12
Australia,Feb 2016,6
Australia,Mar 2016,8
Australia,Apr 2016,6
Australia,May 2016,5
Australia,Jun 2016,6
Australia,Jul 2016,1
